93979-3,"Chikungunya virus IgG Ab [Presence] in Serum or Plasma"
95649-0,"Chikungunya virus neutralizing antibody [Titer] in Specimen by Neutralization test"
95672-2,"Chikungunya virus IgG Ab [Presence] in Specimen by Immunoassay"
95687-0,"Chikungunya virus IgM Ab [Presence] in Specimen by Immunoassay"
95705-0,"Chikungunya virus IgA Ab [Presence] in Specimen by Immunoassay"
97865-0,"Deprecated Chikungunya virus Ab.IgM and IgG panel - Serum or Plasma"
97866-8,"Chikungunya virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay"
97867-6,"Chikungunya virus IgM Ab [Units/volume] in Serum or Plasma by Immunoassay"
100846-5,"Dengue virus 1+2+3+4 nsP1 IgG Ab [Presence] in Serum or Plasma by Immunoassay"
100962-0,"Dengue virus Ab.IgG Panel - Serum, Plasma or Blood"
100963-8,"Dengue virus 1+2+3+4 nsP1 IgG Ab [Units/volume] in Serum or Plasma by Immunoassay"
100964-6,"Dengue virus IgG Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay"
100965-3,"Dengue virus IgG Ab [Interpretation] in Serum, Plasma or Blood"
101206-1,"Dengue virus NS1 Ag [Units/volume] in Serum or Plasma by Immunoassay"
101304-4,"Dengue virus 1+2+3+4 RNA [Presence] in Blood by NAA with non-probe detection"
104383-5,"Dengue virus IgG Ab [Titer] in Serum by Immunoassay --1st specimen"
104384-3,"Dengue virus IgG Ab [Titer] in Serum by Immunoassay --2nd specimen"
104386-8,"Dengue virus IgM Ab [Titer] in Serum by Immunoassay --1st specimen"
104387-6,"Dengue virus IgM Ab [Titer] in Serum by Immunoassay --2nd specimen"
104595-4,"Dengue virus Ab.IgG and IgM and NS1 Ag panel - Serum or Plasma"
16736-1,"Dengue virus 1 Ab [Titer] in Serum"
16737-9,"Dengue virus 2 Ab [Titer] in Serum"
16738-7,"Dengue virus 3 Ab [Titer] in Serum"
16739-5,"Dengue virus 4 Ab [Titer] in Serum"
16740-3,"Dengue virus Ab [Presence] in Serum"
22250-5,"Dengue virus 1 Ab [Presence] in Serum"
22251-3,"Dengue virus 2 Ab [Presence] in Serum"
22252-1,"Dengue virus 3 Ab [Presence] in Serum"
22253-9,"Dengue virus 4 Ab [Presence] in Serum"
23958-2,"Dengue virus IgG Ab [Units/volume] in Serum"
23968-1,"Dengue virus IgM Ab [Units/volume] in Serum"
23991-3,"Dengue virus IgG Ab [Units/volume] in Serum by Immunoassay"
23992-1,"Dengue virus IgM Ab [Units/volume] in Serum by Immunoassay"
25338-5,"Dengue virus IgM Ab [Presence] in Serum"
25392-2,"Dengue virus IgM Ab [Presence] in Serum by Immunoblot"
29661-6,"Dengue virus IgG Ab [Presence] in Serum or Plasma by Immunoassay"
29663-2,"Dengue virus IgM Ab [Presence] in Serum or Plasma by Immunoassay"
29676-4,"Dengue virus IgG Ab [Presence] in Serum"
31338-7,"Dengue virus 1 Ab [Units/volume] in Serum"
31339-5,"Dengue virus 2 Ab [Units/volume] in Serum"
31340-3,"Dengue virus 3 Ab [Units/volume] in Serum"
31341-1,"Dengue virus 4 Ab [Units/volume] in Serum"
31342-9,"Dengue virus Ab [Units/volume] in Specimen"
31343-7,"Dengue virus Ab [Presence] in Specimen"
31798-2,"Dengue virus Ag [Presence] in Serum"
31799-0,"Dengue virus Ag [Presence] in Specimen"
33578-6,"Dengue virus Ab [Titer] in Serum by Immunofluorescence"
33606-5,"Dengue virus Ab [Titer] in Serum"
34721-1,"Dengue virus IgM Ab [Presence] in Cerebral spinal fluid"
40515-9,"Dengue virus Ab [Titer] in Serum by Complement fixation"
40748-6,"Dengue virus Ab [Presence] in Serum by Hemagglutination inhibition"
41878-0,"Dengue virus IgG and IgM panel - Serum by Immunoassay"
50036-3,"Dengue virus neutralizing antibody [Presence] in Specimen by Neutralization test"
51785-4,"Dengue virus IgG and IgM [Interpretation] in Serum"
55369-3,"Dengue virus Ab [Titer] in Serum by Hemagglutination inhibition"
55438-6,"Dengue virus neutralizing antibody [Titer] in Serum by Neutralization test"
60262-3,"Dengue virus 1 RNA [Presence] in Serum by NAA with probe detection"
60418-1,"Dengue virus 4 RNA [Presence] in Serum by NAA with probe detection"
60419-9,"Dengue virus 3 RNA [Presence] in Serum by NAA with probe detection"
60420-7,"Dengue virus 2 RNA [Presence] in Serum by NAA with probe detection"
6382-6,"Deprecated Dengue virus Ab in serum"
6383-4,"Deprecated Dengue virus Ab in unspecified specimen"
6384-2,"Dengue virus Ag [Presence] in Serum by Immunofluorescence"
6385-9,"Dengue virus Ag [Presence] in Specimen by Immunofluorescence"
6386-7,"Dengue virus DNA [Presence] in Serum by Probe"
6387-5,"Dengue virus DNA [Presence] in Specimen by Probe"
6811-4,"Dengue virus IgG Ab [Titer] in Serum"
6812-2,"Dengue virus IgM Ab [Titer] in Serum"
75223-8,"Dengue virus IgG and IgM [Identifier] in Serum, Plasma or Blood by Rapid immunoassay"
75377-2,"Dengue virus NS1 Ag [Presence] in Serum, Plasma or Blood by Rapid immunoassay"
77958-7,"Dengue virus 1 and 2 and 3 and 4 RNA [Identifier] in Cerebral spinal fluid by NAA with probe detection"
7854-3,"Dengue virus 1 Ab [Presence] in Serum by Immunoassay"
7855-0,"Dengue virus 1+2+3+4 RNA [Presence] in Serum by NAA with probe detection"
7856-8,"Dengue virus 2 Ab [Presence] in Serum by Immunoassay"
7857-6,"Dengue virus 3 Ab [Presence] in Serum by Immunoassay"
7858-4,"Dengue virus 4 Ab [Presence] in Serum by Immunoassay"
7859-2,"Dengue virus Ab [Units/volume] in Serum"
81150-5,"Dengue virus 1+2+3+4 5' UTR RNA [Presence] in Serum by NAA with probe detection"
81151-3,"Dengue virus 1+2+3+4 5' UTR RNA [Presence] in Cerebral spinal fluid by NAA with probe detection"
82383-1,"Dengue virus 2+4 RNA [Presence] in Serum by NAA with probe detection"
82384-9,"Dengue virus 1+3 RNA [Presence] in Serum by NAA with probe detection"
82519-0,"Dengue virus 1+3 and 2+4 panel - Serum by NAA with probe detection"
86858-8,"Dengue virus 2 neutralizing antibody [Titer] in Specimen by Neutralization test"
86859-6,"Dengue virus 3 neutralizing antibody [Titer] in Specimen by Neutralization test"
86860-4,"Dengue virus 1 neutralizing antibody [Titer] in Specimen by Neutralization test"
86861-2,"Dengue virus 4 neutralizing antibody [Titer] in Specimen by Neutralization test"
86862-0,"Dengue virus 4 neutralizing antibody [Presence] in Specimen by Neutralization test"
86863-8,"Dengue virus 3 neutralizing antibody [Presence] in Specimen by Neutralization test"
86864-6,"Dengue virus 2 neutralizing antibody [Presence] in Specimen by Neutralization test"
86865-3,"Dengue virus 1 neutralizing antibody [Presence] in Specimen by Neutralization test"
87438-8,"Dengue virus 1+2+3+4 and Zika virus IgA+IgG+IgM Ab [Interpretation] in Specimen by Immunoassay"
87440-4,"Dengue virus 1+2+3+4 IgA+IgG+IgM Ab [Interpretation] in Specimen Qualitative by Immunoassay"
87441-2,"Dengue virus 1+2+3+4 and Zika virus IgA+IgG+IgM panel - Specimen by Immunoassay"
87546-8,"Dengue virus IgG and IgM panel - Serum Qualitative"
88188-8,"Dengue virus 1+2+3+4 RNA [Presence] in Urine by NAA with probe detection"
88189-6,"Dengue virus 1+2+3+4 RNA [Presence] in Blood by NAA with probe detection"
88203-5,"Dengue virus 1 and 2 and 3 and 4 RNA [Identifier] in Serum or Blood by NAA with probe detection"
91064-6,"Dengue virus NS1 Ag [Presence] in Serum or Plasma by Immunoassay"
94426-4,"Dengue virus 1+2+3+4 3' UTR RNA [Presence] in Cerebral spinal fluid by NAA with probe detection"
94427-2,"Dengue virus 1+2+3+4 3' UTR RNA [Presence] in Serum by NAA with probe detection"
94837-2,"Dengue virus 1+2+3+4 RNA [Presence] in Amniotic fluid by NAA with probe detection"
95673-0,"Dengue virus 1+2+3+4 IgG Ab [Presence] in Specimen by Immunoassay"
95688-8,"Dengue virus 1+2+3+4 IgM Ab [Presence] in Specimen by Immunoassay"
95706-8,"Dengue virus IgA Ab [Presence] in Specimen by Immunoassay"
99111-7,"Dengue virus neutralizing antibody [Titer] in Specimen by Neutralization test"
10896-9,"Eastern equine encephalitis virus IgG Ab [Titer] in Serum by Immunofluorescence"
10897-7,"Eastern equine encephalitis virus IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence"
10898-5,"Eastern equine encephalitis virus IgM Ab [Titer] in Serum by Immunofluorescence"
10899-3,"Eastern equine encephalitis virus IgM Ab [Titer] in Cerebral spinal fluid by Immunofluorescence"
13228-2,"Eastern equine encephalitis virus IgG Ab [Units/volume] in Cerebral spinal fluid"
13229-0,"Eastern equine encephalitis virus IgM Ab [Units/volume] in Cerebral spinal fluid"
13918-8,"Eastern equine encephalitis virus Ab [Titer] in Serum by Immunofluorescence"
20790-2,"Eastern equine encephalitis virus Ab [Presence] in Serum by Hemagglutination inhibition"
20791-0,"Eastern equine encephalitis virus Ab [Presence] in Serum by Immunofluorescence"
20792-8,"Eastern equine encephalitis virus Ab [Presence] in Cerebral spinal fluid by Immunofluorescence"
20793-6,"Eastern equine encephalitis virus Ab [Presence] in Serum by Complement fixation"
20794-4,"Eastern equine encephalitis virus Ab [Presence] in Cerebral spinal fluid by Complement fixation"
20795-1,"Eastern equine encephalitis virus neutralizing antibody [Titer] in Serum by Neutralization test"
22255-4,"Eastern equine encephalitis virus Ab [Presence] in Cerebral spinal fluid"
22256-2,"Eastern equine encephalitis virus Ab [Presence] in Serum"
22257-0,"Eastern equine encephalitis virus Ab [Titer] in Serum"
22258-8,"Eastern equine encephalitis virus IgG Ab [Titer] in Cerebral spinal fluid"
22259-6,"Eastern equine encephalitis virus IgG Ab [Titer] in Serum"
22260-4,"Eastern equine encephalitis virus IgM Ab [Titer] in Cerebral spinal fluid"
22261-2,"Eastern equine encephalitis virus IgM Ab [Titer] in Serum"
22262-0,"Deprecated Eastern equine encephalitis virus Ab [Titer] in Serum"
23042-5,"Eastern equine encephalitis virus Ab [Titer] in Serum by Hemagglutination inhibition"
23043-3,"Eastern equine encephalitis virus Ab [Presence] in Serum by Agglutination"
23044-1,"Eastern equine encephalitis virus neutralizing antibody [Presence] in Serum by Neutralization test"
23045-8,"Eastern equine encephalitis virus IgM Ab [Presence] in Serum by Immunoassay"
23046-6,"Eastern equine encephalitis virus IgM Ab [Presence] in Serum"
23047-4,"Eastern equine encephalitis virus Ag [Presence] in Brain by Complement fixation"
23048-2,"Eastern equine encephalitis virus Ag [Presence] in Specimen by Immunofluorescence"
23049-0,"Eastern equine encephalitis virus Ag [Presence] in Specimen by Complement fixation"
23050-8,"Eastern equine encephalitis virus Ag [Presence] in Specimen by Neutralization test"
23051-6,"Eastern equine encephalitis virus RNA [Presence] in Tissue by NAA with probe detection"
23052-4,"Eastern equine encephalitis virus RNA [Presence] in Tissue by Probe"
24006-9,"Eastern equine encephalitis virus IgG and IgM [Interpretation] in Serum"
24213-1,"Eastern equine encephalitis virus Ab [Titer] in Serum by Immunofluorescence --1st specimen"
24214-9,"Eastern equine encephalitis virus Ab [Titer] in Serum by Immunofluorescence --2nd specimen"
24287-5,"Eastern equine encephalitis virus Ab [Titer] in Serum --1st specimen"
24288-3,"Eastern equine encephalitis virus Ab [Titer] in Serum --2nd specimen"
26825-0,"Eastern equine encephalitis virus RNA [Presence] in Cerebral spinal fluid by Probe"
29785-3,"Eastern equine encephalitis virus IgG Ab [Presence] in Specimen by Immunofluorescence"
29798-6,"Eastern equine encephalitis virus IgG Ab [Presence] in Cerebral spinal fluid by Immunofluorescence"
29811-7,"Eastern equine encephalitis virus IgG Ab [Presence] in Serum by Immunofluorescence"
29824-0,"Eastern equine encephalitis virus IgG Ab [Presence] in Specimen"
29836-4,"Eastern equine encephalitis virus IgG Ab [Presence] in Cerebral spinal fluid"
29848-9,"Eastern equine encephalitis virus IgG Ab [Presence] in Serum"
31806-3,"Eastern equine encephalitis virus Ag [Presence] in Brain"
31807-1,"Eastern equine encephalitis virus Ag [Presence] in Serum"
31808-9,"Eastern equine encephalitis virus Ag [Presence] in Specimen"
34449-9,"Eastern equine encephalitis virus RNA [Presence] in Blood by NAA with probe detection"
34450-7,"Eastern equine encephalitis virus RNA [Presence] in Cerebral spinal fluid by NAA with probe detection"
34723-7,"Eastern equine encephalitis virus Ab [Titer] in Cerebral spinal fluid"
35743-4,"Eastern equine encephalitis virus IgG and IgM panel - Specimen"
37983-4,"Eastern equine encephalitis virus RNA [Presence] in Specimen by Probe"
38763-9,"Eastern equine encephalitis virus IgM Ab [Units/volume] in Specimen"
38764-7,"Eastern equine encephalitis virus IgG Ab [Units/volume] in Specimen"
42004-2,"Eastern equine encephalitis virus IgM Ab [Presence] in Cerebral spinal fluid by Immunoassay"
43044-7,"Eastern equine encephalitis virus IgM Ab [Presence] in Cerebral spinal fluid"
43096-7,"Eastern equine encephalitis virus IgM Ab [Presence] in Specimen"
43329-2,"Eastern equine encephalitis virus Ab [Titer] in Serum by Complement fixation"
43330-0,"Eastern equine encephalitis virus IgM Ab [Titer] in Serum by Immunoassay"
49065-6,"Eastern equine encephalitis virus IgG and IgM [Interpretation] in Cerebral spinal fluid"
50547-9,"Eastern equine encephalitis virus RNA [Presence] in Specimen by NAA with probe detection"
5134-2,"Eastern equine encephalitis virus Ab [Units/volume] in Serum"
52822-4,"Eastern equine encephalitis virus IgG Ab [Presence] in Serum by Immunoassay"
62429-6,"Eastern equine encephalitis virus IgM Ab [Presence] in Body fluid by Immunofluorescence"
62430-4,"Eastern equine encephalitis virus IgM Ab [Presence] in Body fluid by Immunoassay"
62431-2,"Eastern equine encephalitis virus IgG Ab [Presence] in Body fluid by Immunoassay"
6388-3,"Eastern equine encephalitis virus Ag [Presence] in Serum by Immunoassay"
6389-1,"Eastern equine encephalitis virus Ag [Presence] in Serum by Immunofluorescence"
69034-7,"Eastern equine encephalitis virus IgG and IgM panel - Serum by Immunofluorescence"
69035-4,"Eastern equine encephalitis virus IgG and IgM panel - Cerebral spinal fluid by Immunofluorescence"
7860-0,"Eastern equine encephalitis virus IgG Ab [Units/volume] in Serum"
7861-8,"Eastern equine encephalitis virus IgM Ab [Units/volume] in Serum"
95654-0,"Eastern equine encephalitis virus neutralizing antibody [Titer] in Specimen by Neutralization test"
95660-7,"Eastern equine encephalitis virus IgM Ab [Presence] in Specimen by Immunoassay"
95712-6,"Eastern equine encephalitis virus IgA Ab [Presence] in Specimen by Immunoassay"
101366-3,"Ebola virus RNA [Presence] in Blood by NAA with non-probe detection"
104389-2,"Ebola virus IgG Ab [Titer] in Serum by Immunoassay --1st specimen"
104390-0,"Ebola virus IgG Ab [Titer] in Serum by Immunoassay --2nd specimen"
11581-6,"Ebola virus Ab [Units/volume] in Serum"
22263-8,"Ebola virus Ab [Titer] in Serum"
41636-2,"Ebola virus RNA [Presence] in Specimen by NAA with probe detection"
41637-0,"Ebola virus Ag [Presence] in Specimen by Immunofluorescence"
71711-6,"Ebola virus IgM Ab [Titer] in Serum by Immunoassay"
71712-4,"Ebola virus IgM Ab [Presence] in Serum by Immunoassay"
71767-8,"Ebola virus IgG Ab [Titer] in Serum by Immunoassay"
71768-6,"Ebola virus Ag [Presence] in Specimen by Immunoassay"
71770-2,"Ebola virus IgG Ab [Presence] in Serum by Immunoassay"
7862-6,"Ebola virus Ab [Titer] in Serum by Immunofluorescence"
86518-8,"Ebola virus RNA [Presence] in Blood by NAA with probe detection"
101209-5,"Hantavirus IgG panel - Serum or Plasma by Line blot"
101210-3,"Hantavirus puumala IgG Ab [Presence] in Serum or Plasma by Line blot"
101211-1,"Hantavirus sin nombre IgG Ab [Presence] in Serum or Plasma by Line blot"
101212-9,"Hantavirus hantaan IgG Ab [Presence] in Serum or Plasma by Line blot"
101213-7,"Hantavirus dobrava [Presence] in Serum or Plasma by Line blot"
101214-5,"Hantavirus IgM panel - Serum or Plasma by Line blot"
101215-2,"Hantavirus puumala IgM Ab [Presence] in Serum or Plasma by Line blot"
101216-0,"Hantavirus sin nombre IgM Ab [Presence] in Serum or Plasma by Line blot"
101217-8,"Hantavirus hantaan IgM Ab [Presence] in Serum or Plasma by Line blot"
101218-6,"Hantavirus dobrava IgM Ab [Presence] in Serum or Plasma by Line blot"
104406-4,"Hantavirus IgG Ab [Titer] in Serum by Immunoassay --1st specimen"
104407-2,"Hantavirus IgG Ab [Titer] in Serum by Immunoassay --2nd specimen"
104662-2,"Hantavirus seoul IgM Ab [Presence] in Serum or Plasma by Immunoassay"
13289-4,"Hantavirus hantaan Ab [Units/volume] in Serum"
16928-4,"Hantavirus puumala IgG+IgM Ab [Units/volume] in Serum"
21322-3,"Hantavirus puumala IgG Ab [Titer] in Serum by Immunofluorescence"
21323-1,"Hantavirus puumala IgM Ab [Titer] in Serum by Immunofluorescence"
22308-1,"Hantavirus puumala IgG Ab [Titer] in Serum"
22309-9,"Hantavirus puumala IgM Ab [Titer] in Serum"
23867-5,"Hantavirus sin nombre IgG Ab [Titer] in Serum"
23868-3,"Hantavirus sin nombre IgM Ab [Titer] in Serum"
26620-5,"Hantavirus IgG Ab [Presence] in Serum"
26650-2,"Hantavirus sin nombre IgM Ab [Presence] in Serum"
26654-4,"Hantavirus sin nombre IgG Ab [Presence] in Serum"
31408-8,"Hantavirus sin nombre IgG Ab [Units/volume] in Serum"
31409-6,"Hantavirus sin nombre IgM Ab [Units/volume] in Serum"
32131-5,"Hantavirus IgM Ab [Presence] in Serum"
33549-7,"Hantavirus sin nombre Ab [Presence] in Serum"
35392-0,"Hantavirus IgG Ab [Units/volume] in Serum"
35393-8,"Hantavirus IgM Ab [Units/volume] in Serum"
42503-3,"Hantavirus Ab [Presence] in Serum"
5046-8,"Hantavirus Ab [Units/volume] in Serum"
60264-9,"Hantavirus Ab [Titer] in Serum"
65762-7,"Hantavirus Ag [Presence] in Tissue by Immune stain"
70052-6,"Hantavirus hantaan IgG Ab [Presence] in Serum or Plasma by Immunofluorescence"
70053-4,"Hantavirus hantaan IgM Ab [Presence] in Serum or Plasma by Immunofluorescence"
70054-2,"Hantavirus dobrova IgM Ab [Presence] in Serum or Plasma by Immunofluorescence"
70055-9,"Hantavirus dobrova IgG Ab [Presence] in Serum or Plasma by Immunofluorescence"
70056-7,"Hantavirus saaremaa IgG Ab [Presence] in Serum or Plasma by Immunofluorescence"
70057-5,"Hantavirus saaremaa IgM Ab [Presence] in Serum or Plasma by Immunofluorescence"
70058-3,"Hantavirus puumala IgM Ab [Presence] in Serum or Plasma by Immunofluorescence"
70059-1,"Hantavirus puumala IgG Ab [Presence] in Serum or Plasma by Immunofluorescence"
70060-9,"Hantavirus seoul IgG Ab [Presence] in Serum or Plasma by Immunofluorescence"
7895-6,"Hantavirus hantaan IgG Ab [Units/volume] in Serum"
7896-4,"Hantavirus hantaan IgM Ab [Units/volume] in Serum"
7897-2,"Hantavirus puumala IgG Ab [Units/volume] in Serum"
7898-0,"Hantavirus puumala IgM Ab [Units/volume] in Serum"
7899-8,"Hantavirus RNA [Presence] in Serum by NAA with probe detection"
86520-4,"Hantavirus RNA [Presence] in Blood by NAA with probe detection"
86536-0,"Hantavirus RNA [Presence] in Cerebral spinal fluid by NAA with probe detection"
86537-8,"Hantavirus RNA [Presence] in Tissue by NAA with probe detection"
86538-6,"Hantavirus RNA [Presence] in Urine by NAA with probe detection"
88216-7,"Hantavirus puumala RNA [Presence] in Urine by NAA with probe detection"
88220-9,"Hantavirus puumala RNA [Presence] in Blood by NAA with probe detection"
91130-5,"Hantavirus RNA [Presence] in Lower respiratory specimen by NAA with probe detection"
94099-9,"Hantavirus IgM Ab [Presence] in Serum or Plasma by Immunofluorescence"
94100-5,"Hantavirus seoul IgM Ab [Presence] in Serum or Plasma by Line blot"
94101-3,"Hantavirus seoul IgG Ab [Presence] in Serum or Plasma by Line blot"
97871-8,"Hantavirus IgG and IgM panel - Serum or Plasma"
104260-5,"Hepatitis A virus cellular receptor 1 [Ratio] in Urine by Calculation"
104409-8,"Hepatitis A virus IgG Ab [Titer] in Serum by Immunoassay --1st specimen"
104410-6,"Hepatitis A virus IgG Ab [Titer] in Serum by Immunoassay --2nd specimen"
104412-2,"Hepatitis A virus IgM Ab [Titer] in Serum"
13950-1,"Hepatitis A virus IgM Ab [Presence] in Serum or Plasma by Immunoassay"
13951-9,"Hepatitis A virus Ab [Presence] in Serum by Immunoassay"
20575-7,"Hepatitis A virus Ab [Presence] in Serum"
22312-3,"Hepatitis A virus Ab [Units/volume] in Serum"
22313-1,"Hepatitis A virus IgG Ab [Units/volume] in Serum"
22314-9,"Hepatitis A virus IgM Ab [Presence] in Serum"
22315-6,"Hepatitis A virus IgM Ab [Units/volume] in Serum"
32018-4,"Hepatitis A virus IgG Ab [Presence] in Serum"
40724-7,"Hepatitis A virus IgG Ab [Presence] in Serum by Immunoassay"
51660-9,"Hepatitis A virus IgM Ab [Presence] in Body fluid"
51661-7,"Hepatitis A virus Ab [Presence] in Body fluid"
5179-7,"Hepatitis A virus IgG Ab [Units/volume] in Serum by Immunoassay"
5180-5,"Hepatitis A virus IgG Ab [Units/volume] in Serum by Radioimmunoassay (RIA)"
5181-3,"Hepatitis A virus IgM Ab [Units/volume] in Serum by Immunoassay"
5182-1,"Hepatitis A virus IgM Ab [Units/volume] in Serum by Radioimmunoassay (RIA)"
5183-9,"Hepatitis A virus Ab [Units/volume] in Serum or Plasma by Immunoassay"
5184-7,"Hepatitis A virus Ab [Units/volume] in Serum by Radioimmunoassay (RIA)"
51913-2,"Hepatitis A virus IgG+IgM Ab [Presence] in Serum"
53775-3,"Hepatitis A virus Ab panel - Serum"
53776-1,"Hepatitis A virus Ab [Interpretation] in Serum"
55264-6,"Hepatitis A virus immunization status"
78444-7,"Hepatitis A virus IgG+IgM Ab [Units/volume] in Serum or Plasma by Immunoassay"
7904-6,"Hepatitis A virus RNA [Presence] in Serum by NAA with probe detection"
89373-5,"Hepatitis A virus genotype in Specimen by NAA with probe detection"
91070-3,"Hepatitis A virus RNA [Presence] in Stool by NAA with probe detection"
94539-4,"Hepatitis A virus IgM and total panel - Serum or Plasma Qualitative"
95142-6,"Hepatitis A virus IgM panel - Serum"
97106-9,"Hepatitis A virus cellular receptor 1 [Mass/volume] in Urine by Immunoassay"
97523-5,"Hepatitis A virus RNA [Presence] in Specimen by NAA with probe detection"
103618-5,"Hepatitis B virus RNA [#/volume] (viral load) in Serum or Plasma by NAA with probe detection"
10397-8,"Hepatitis B immune globulin given [Volume]"
104785-1,"Hepatitis B virus core IgM Ab [Units/volume] in Serum or Plasma"
104995-6,"Hepatitis B virus genotype [Identifier] in Serum or Plasma by Sequencing"
10673-2,"Hepatitis B virus core Ag [Presence] in Tissue by Immune stain"
10674-0,"Hepatitis B virus surface Ag [Presence] in Tissue by Immune stain"
10675-7,"Hepatitis B virus surface Ag [Presence] in Tissue by Orcein stain"
10900-9,"Hepatitis B virus surface Ab [Presence] in Serum by Immunoassay"
11258-1,"Hepatitis B virus DNA [Units/volume] in Serum"
13126-8,"Deprecated Hepatitis B virus DNA [Presence] in Blood by Immunoblot (IB)"
13919-6,"Hepatitis B virus core IgG Ab [Units/volume] in Serum by Immunoassay"
13952-7,"Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay"
13953-5,"Hepatitis B virus e Ab [Presence] in Serum or Plasma by Immunoassay"
13954-3,"Hepatitis B virus e Ag [Presence] in Serum or Plasma by Immunoassay"
16933-4,"Hepatitis B virus core Ab [Presence] in Serum"
16934-2,"Hepatitis B virus polymerase DNA [Presence] in Blood by NAA with probe detection"
16935-9,"Hepatitis B virus surface Ab [Units/volume] in Serum"
20442-0,"Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification"
22316-4,"Hepatitis B virus core Ab [Units/volume] in Serum"
22318-0,"Hepatitis B virus core IgG Ab [Units/volume] in Serum"
22319-8,"Hepatitis B virus core IgM Ab [Units/volume] in Serum"
22320-6,"Hepatitis B virus e Ab [Presence] in Serum"
22321-4,"Hepatitis B virus e Ab [Units/volume] in Serum"
22322-2,"Hepatitis B virus surface Ab [Presence] in Serum"
